From Date,To Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,O-Xylene,Temp,RH,WS,WD,SR,BP
01-01-2024 00:00,01-01-2024 04:00,173.22,266.89,65.59,76.85,93.94,18.86,12.51,3.24,2.4,22.2,46.83,12.2,32.47,15.93,16.53,95.36,1.37,232.56,2.71,None
01-01-2024 04:00,01-01-2024 08:00,119.92,203.37,8.42,28.28,22.27,12.02,3.09,0.92,3.96,9.93,17.44,3.22,8.83,3.99,15.65,96.69,1.22,211.26,7.8,None
01-01-2024 08:00,01-01-2024 12:00,110.05,183.18,7.01,36.94,26.06,13.45,16.15,1.26,51.46,10.68,10.75,1.95,5.38,2.36,21.68,76.03,1.22,131.28,129.58,None
01-01-2024 12:00,01-01-2024 16:00,105.07,163.57,5.57,22.86,17.44,11.77,19.67,0.82,91.49,5.74,7.37,1.23,3.72,1.46,26.94,57.18,1.14,153.64,75.13,None
01-01-2024 16:00,01-01-2024 20:00,88.36,138.5,48.31,84.38,83.95,18.11,13.99,2.3,34.74,10.42,16.56,7.07,19.55,9.04,23.23,69.49,1.01,175.8,10.52,None
01-01-2024 20:00,02-01-2024 00:00,122.99,217.39,109.8,107.23,145.27,23.69,15.05,4.31,2.61,21.94,6.16,18.26,48.44,23.65,18.27,88.52,1.29,256.16,None,None
02-01-2024 00:00,02-01-2024 04:00,122.73,203.23,39.82,65.89,67.56,17.6,8.06,2.62,2.38,18.21,27.15,13.38,34.85,16.71,16.57,93.92,1.28,235.56,1.61,None
02-01-2024 04:00,02-01-2024 08:00,101.46,163.12,7.7,22.93,19.35,11.78,5.3,1.13,3.14,9.64,22.26,4.42,10.13,4.51,15.55,96.31,1.27,214.56,8.08,None
02-01-2024 08:00,02-01-2024 12:00,101.84,184.11,9.61,41.91,30.78,14.25,23.78,1.2,45.48,10.97,14.76,2.92,8.11,3.38,21.73,76.75,1.19,160.68,126.38,None
02-01-2024 12:00,02-01-2024 16:00,86.29,137.33,7.6,26.65,21.15,12.42,16.05,0.7,72.6,4.75,7.46,1.23,4.02,1.54,26.87,58.5,1.26,149.42,74.66,None
02-01-2024 16:00,02-01-2024 20:00,76.25,129.02,160.08,119.82,190.98,28.29,12.89,2.44,29.31,10.72,13.24,7.88,22.15,10.56,23.08,69.19,0.97,196.26,12.2,None
02-01-2024 20:00,03-01-2024 00:00,106.36,207.28,98.01,86.39,123.73,22.9,14.66,4.11,2.56,24.34,7.84,21.29,53.24,26.29,17.96,90.49,1.2,253.49,None,None
03-01-2024 00:00,03-01-2024 04:00,108.28,179.37,33.52,56.4,56.35,16.61,9.3,2.7,2.33,21.09,28.6,14.96,34.2,17.4,16.27,95.36,1.16,226.68,2.49,None
03-01-2024 04:00,03-01-2024 08:00,79,136.67,6.44,22.16,16.68,12.16,2.7,0.88,2.66,9.81,20.39,4.29,9.95,4.74,15.31,96.98,1.2,219.91,8.15,None
03-01-2024 08:00,03-01-2024 12:00,83.1,160.32,8.03,44.57,29.69,13.91,36.97,1.42,45.32,12.4,15.03,3.02,8.03,3.55,21.45,77.01,1.16,126.14,120.8,None
03-01-2024 12:00,03-01-2024 16:00,91.61,140.28,3.73,29.27,18.24,11.88,38.99,0.8,80.07,5.86,8.94,1.57,4.68,1.81,26.32,62.97,1.28,157.37,93.58,None
03-01-2024 16:00,03-01-2024 20:00,76.94,119.28,30.13,67.08,59.21,16.49,14.85,1.98,30.6,8.51,21.71,7.34,18.58,8.51,23.39,73.26,0.91,163.93,14.27,None
03-01-2024 20:00,04-01-2024 00:00,110.26,165.01,81.41,69.96,101.84,20.32,15.51,3.56,2.36,19.24,34.33,16.43,41.67,20.08,19.06,90.38,1.27,253.49,0.2,None
04-01-2024 00:00,04-01-2024 04:00,112.18,162.09,35.93,52.77,56.24,16.45,11.37,2.57,2.1,17.97,41.12,11.09,28.2,13.73,17.52,94.61,0.84,230.27,2.07,None
